        P,          R,      mAP,        F1,     test_loss,     _xy        _wh       _cls      _conf     _iou_t       _lr0       _lrf      _mom      _decay
      0.437      0.546      0.531      0.463        6.8     0.3562    0.09159    0.04328       1.06      0.213   0.001577     -9.157     0.8814  0.0009489
      0.435      0.514      0.467      0.453       7.37     0.4693     0.1185    0.05024      1.104     0.2487   0.001557     -8.362     0.8302   0.001224
      0.426      0.482      0.459      0.417       8.01     0.2914    0.05941    0.05074      1.281     0.1788   0.001669     -9.602     0.8682  0.0009498
      0.442      0.497      0.474      0.435       6.97     0.2912    0.09632     0.0476      1.062     0.1892   0.001346     -9.482     0.8774   0.001015
       0.46      0.511      0.474      0.466        6.3      0.425     0.0952    0.04734     0.9523     0.2753   0.001912     -9.159     0.8987   0.001258 
      0.474       0.55      0.513      0.466       6.05     0.3878     0.1432    0.02425     0.9559     0.1192   0.001182     -6.189     0.8821   0.001181 +
      0.462       0.57      0.529      0.477       8.61     0.3087     0.1141    0.04229      1.428     0.1173   0.001835     -10.19     0.8322  0.0003665 +
       0.39      0.552      0.497      0.399       5.38     0.4204    0.09983    0.04926     0.6589    0.04034   0.001704     -8.595     0.8081  0.0005695
      0.434      0.545       0.52      0.462       7.04     0.3978    0.09725    0.05702      1.007     0.2051   0.001179     -7.522     0.8875  0.0006039
      0.459      0.508      0.489      0.443       6.77     0.3114    0.07367    0.03469      1.118     0.1548   0.002142     -6.995      0.877  0.0009552
      0.418      0.512      0.469      0.441       6.63     0.2246    0.09064    0.04651      1.041     0.2627   0.001647     -11.86     0.8861   0.001382
      0.415      0.532      0.494      0.442       9.46     0.5686     0.1035    0.06205      1.489     0.2291   0.001625     -8.612     0.8669  0.0008603
        0.4       0.48      0.458      0.407       5.36     0.2482     0.1111    0.03021     0.8662     0.1807   0.002019     -7.731     0.9123   0.001191 +
      0.465      0.546      0.514      0.467       7.43     0.3969    0.07748    0.03857      1.206     0.1344   0.001341     -11.35     0.9032   0.001082
