     P          R         mAP        F1        loss        _xy        _wh       _cls       _conf     _iou_t      _lr0       _lrf       _mom      _decay   
      0.474      0.543      0.503      0.436         22        0.5     0.0625     0.0625          4        0.1      0.001         -5        0.9     0.0005
      0.507      0.565      0.526        0.5       16.1     0.5272    0.08369    0.07041      2.824     0.1215   0.001636     -5.474     0.9303  0.0006447
      0.535      0.561       0.55      0.521       9.35     0.4884    0.07369     0.1087      1.221     0.1762   0.001792     -4.395      0.927  0.0006148
      0.459      0.514      0.487      0.467       11.5     0.4327    0.08434      0.127      1.616     0.2447   0.002086     -3.584       0.95  0.0006917
      0.506      0.549      0.531        0.5       8.51     0.5891     0.0887     0.1202     0.9369     0.2165   0.001531     -4.963       0.91  0.0006288
      0.413      0.517      0.496      0.413       9.24     0.6959    0.09981     0.1265      1.126     0.1914   0.001931     -2.711     0.9424  0.0005716
      0.513      0.556      0.543      0.506       8.54     0.4044       0.09     0.1159     0.9855     0.1973   0.001672     -3.563     0.9095  0.0004596
      0.447       0.57      0.533      0.441       8.53      0.423    0.06074     0.1055      1.094    0.08293   0.001381     -2.795     0.9411  0.0008153
      0.413      0.547      0.526      0.438       10.9     0.5188    0.06109     0.1118      1.578     0.1532   0.001917     -5.385       0.95  0.0005195
      0.464      0.499      0.467      0.447       9.86     0.7279    0.07893      0.122      1.189     0.1567   0.001531     -5.391     0.8991  0.0002647
      0.501      0.562      0.547      0.506       10.6     0.3148    0.07017     0.1363      1.366     0.1793   0.001738     -5.445     0.9358  0.0005989
      0.465        0.5      0.481      0.454       9.66     0.4641    0.09811     0.1012      1.338     0.1671   0.001707     -4.785     0.9417  0.0006962
      0.437      0.536      0.503      0.451         10     0.6438    0.06331     0.1392      1.203     0.1523   0.001775      -4.16     0.9324  0.0008095
      0.492      0.534      0.515      0.484       8.37     0.3008     0.0794    0.09455      1.093     0.2005   0.001622     -3.794     0.9295  0.0003879
      0.448      0.525      0.513       0.46       9.97     0.3999    0.06104     0.1439      1.187     0.1912   0.002202     -4.064     0.9165  0.0002211
